axis,pixel_offset_px,real_distance_cm,cal_height_cm,theta_rad
x,50,5.0,80.0,0.06241880999595735
x,100,9.0,80.0,0.11202896242598788
x,150,13.9,80.0,0.17203255328771253
x,200,18.0,80.0,0.2213144423477913
x,250,22.5,80.0,0.2741674511196588
x,300,28.0,80.0,0.33667481938672716
x,350,32.0,80.0,0.3805063771123649
x,400,36.8,80.0,0.43113874071878217
x,450,43.0,80.0,0.4931956569026999
x,500,49.0,80.0,0.5495600135263796
x,550,56.0,80.0,0.6107259643892086
x,600,61.4,80.0,0.6546073558126363
x,650,70.0,80.0,0.7188299996216245
x,700,79.0,80.0,0.7791089381447409
x,750,88.0,80.0,0.8329812666744317
x,800,100.0,80.0,0.8960553845713439
x,850,113.0,80.0,0.9547449689616684
y,50,5.0,80.0,0.06241880999595735
y,100,9.5,80.0,0.11819648888042926
y,150,14.0,80.0,0.17324566645236494
y,200,19.0,80.0,0.2331798006468164
y,250,24.0,80.0,0.2914567944778671
y,300,28.0,80.0,0.33667481938672716
y,350,32.5,80.0,0.38588266939807375
y,400,36.0,80.0,0.4228539261329407
y,450,41.0,80.0,0.47359752939361127
